"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Web Ecommerce Hasaki.vn","0","Logout Functionality","2","0","Log out from system","0"
"0","Web Ecommerce Hasaki.vn","0","Checkout & Payment Process","2","0","Address Information","0"
"0","Web Ecommerce Hasaki.vn","0","Product Detail Functionality","12","4","Cart Functionality","0"
"0","Web Ecommerce Hasaki.vn","0","MyAddress Functionality","6","0","Negative Validation","0"
"0","Web Ecommerce Hasaki.vn","0","Search Functionality","2","0","Negative Search Scenarios","0"
"0","Web Ecommerce Hasaki.vn","2","Search Functionality","6","0","Search Accuracy Validation","0"
"0","Web Ecommerce Hasaki.vn","0","MyAddress Functionality","6","0","Add Address Validation","0"
"0","Web Ecommerce Hasaki.vn","0","Checkout & Payment Process","2","0","E2E Data Integrity","0"
"0","Web Ecommerce Hasaki.vn","0","Product Detail Functionality","8","0","UI Verification","0"
"0","Web Ecommerce Hasaki.vn","0","Login Functionality","2","0","Login Page UI","0"
"0","Web Ecommerce Hasaki.vn","0","MyAddress Functionality","2","0","UI Verification","0"
"0","Web Ecommerce Hasaki.vn","0","Login Functionality","14","0","Login Data Driven","0"
"0","Web Ecommerce Hasaki.vn","0","Checkout & Payment Process","2","0","Checkout UI Integrity","0"
"0","Web Ecommerce Hasaki.vn","0","MyAddress Functionality","6","0","Delete Address Validation","0"
"0","Web Ecommerce Hasaki.vn","0","End-to-End Purchase Flow","4","0","Complete User Purchase Flow","0"
"0","Web Ecommerce Hasaki.vn","0","Cart Management Functionality","2","0","Clear Cart Functionality","0"
"0","Web Ecommerce Hasaki.vn","0","Cart Management Functionality","2","0","Quantity Update Functionality","0"
"0","Web Ecommerce Hasaki.vn","0","Search Functionality","4","0","Product Navigation","0"
"0","Web Ecommerce Hasaki.vn","0","Cart Management Functionality","2","0","Cart UI & Navigation","0"
"0","Web Ecommerce Hasaki.vn","0","Checkout & Payment Process","2","0","E2E Price Integrity","0"
"0","Web Ecommerce Hasaki.vn","0","Search Functionality","4","0","Price Filter Validation","0"
"0","Web Ecommerce Hasaki.vn","0","Cart Management Functionality","2","0","Price Calculation Logic","0"
